benchmark	condition	seed	attention_alpha	top_k_gaze	is_baseline	Acc	Q_Acc	I_Acc	G_Acc	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	mean_boosted_head_image_attention_mass	out_path
naturalbench	gaze_top5_alpha1	0	1.000000	5	False	0.545000	0.280000	0.120000	0.020000	0.071496	0.115981	0.466004	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top5_alpha1_seed0.jsonl
naturalbench	gaze_top10_alpha1	0	1.000000	10	False	0.542500	0.280000	0.110000	0.020000	0.073076	0.131076	0.467170	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha1_seed0.jsonl
naturalbench	gaze_top20_alpha1	0	1.000000	20	False	0.557500	0.290000	0.135000	0.020000	0.075596	0.127017	0.433389	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha1_seed0.jsonl
naturalbench	gaze_top1_alpha2	0	2.000000	1	False	0.557500	0.290000	0.130000	0.020000	0.070497	0.112362	0.948821	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top1_alpha2_seed0.jsonl
naturalbench	gaze_top5_alpha2	0	2.000000	5	False	0.555000	0.275000	0.125000	0.020000	0.072762	0.124872	0.623508	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top5_alpha2_seed0.jsonl
naturalbench	gaze_top10_alpha2	0	2.000000	10	False	0.550000	0.280000	0.140000	0.030000	0.075933	0.145967	0.639889	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha2_seed0.jsonl
naturalbench	gaze_top20_alpha2	0	2.000000	20	False	0.552500	0.285000	0.140000	0.030000	0.081307	0.151516	0.603831	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha2_seed0.jsonl
naturalbench	gaze_top1_alpha5	0	5.000000	1	False	0.555000	0.285000	0.125000	0.020000	0.070478	0.115325	0.997351	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top1_alpha5_seed0.jsonl
naturalbench	gaze_top5_alpha5	0	5.000000	5	False	0.555000	0.280000	0.130000	0.020000	0.075604	0.144505	0.945739	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top5_alpha5_seed0.jsonl
naturalbench	gaze_top10_alpha5	0	5.000000	10	False	0.557500	0.315000	0.175000	0.030000	0.081021	0.172038	0.953128	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha5_seed0.jsonl
naturalbench	gaze_top20_alpha5	0	5.000000	20	False	0.562500	0.295000	0.195000	0.040000	0.091938	0.195919	0.940158	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha5_seed0.jsonl
naturalbench	gaze_top1_alpha10	0	10.000000	1	False	0.547500	0.280000	0.115000	0.020000	0.070463	0.115523	1.000000	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top1_alpha10_seed0.jsonl
naturalbench	gaze_top5_alpha10	0	10.000000	5	False	0.542500	0.270000	0.120000	0.020000	0.075972	0.147788	0.999781	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top5_alpha10_seed0.jsonl
naturalbench	gaze_top10_alpha10	0	10.000000	10	False	0.555000	0.310000	0.170000	0.030000	0.081743	0.175805	0.999834	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha10_seed0.jsonl
naturalbench	gaze_top20_alpha10	0	10.000000	20	False	0.570000	0.315000	0.205000	0.040000	0.093447	0.202304	0.999718	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha10_seed0.jsonl
