top_k	condition	matched_panel	count	fraction	source
5	non_gaze_5	5	354	0.12164948453608247	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	non_gaze_5	6	54	0.018556701030927835	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
10	gaze_top10	1	401	0.13429336905559278	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	gaze_top10	2	2031	0.6801741460147355	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	gaze_top10	3	167	0.05592766242464836	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	gaze_top10	4	56	0.018754186202277295	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	gaze_top10	5	318	0.10649698593436034	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	gaze_top10	6	13	0.004353650368385801	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	non_gaze_10	1	377	0.12906538856555974	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	non_gaze_10	2	1707	0.5843889079082506	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	non_gaze_10	3	171	0.058541595344060254	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	non_gaze_10	4	170	0.05819924683327628	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	non_gaze_10	5	411	0.14070523793221498	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
10	non_gaze_10	6	85	0.02909962341663814	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/judgments.jsonl
20	gaze_top20	1	922	0.3121191604603927	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	gaze_top20	2	1434	0.4854434664861205	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	gaze_top20	3	158	0.05348679756262695	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	gaze_top20	4	64	0.021665538253215978	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	gaze_top20	5	338	0.11442112389979689	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	gaze_top20	6	38	0.012863913337846988	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	non_gaze_20	1	75	0.02528658125421443	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	non_gaze_20	2	2266	0.7639919082939987	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	non_gaze_20	3	255	0.08597437626432906	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	non_gaze_20	4	52	0.01753202966958867	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	non_gaze_20	5	313	0.10552933243425489	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
20	non_gaze_20	6	5	0.0016857720836142953	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/judgments.jsonl
