top_k	condition	target_panel	accuracy	ci_low	ci_high	n	source
5	gaze_top5	3	0.052	0.034	0.072	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	gaze_top5	4	0.03	0.016	0.046	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	gaze_top5	5	0.116	0.09	0.14404999999999926	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	gaze_top5	6	0.004	0.0	0.01	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	non_gaze_5	1	0.022	0.01	0.036	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	non_gaze_5	2	0.812	0.778	0.846	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	non_gaze_5	3	0.058	0.038	0.08	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	non_gaze_5	4	0.038	0.022	0.056	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	non_gaze_5	5	0.15	0.12	0.182	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	non_gaze_5	6	0.034	0.02	0.05	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
10	gaze_top10	1	0.142	0.112	0.174	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	gaze_top10	2	0.626	0.582	0.668	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	gaze_top10	3	0.046	0.028	0.066	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	gaze_top10	4	0.03	0.016	0.046	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	gaze_top10	5	0.114	0.088	0.142	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	gaze_top10	6	0.002	0.0	0.006	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	non_gaze_10	1	0.11	0.084	0.138	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	non_gaze_10	2	0.504	0.46	0.548	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	non_gaze_10	3	0.06	0.04	0.082	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	non_gaze_10	4	0.076	0.054	0.1	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	non_gaze_10	5	0.116	0.09	0.146	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
10	non_gaze_10	6	0.012	0.004	0.022	500	segments/gaze_heads_qwen25/runs/static_narration_top10_merged_0_500/qwen_judge/aggregate_results.json
20	gaze_top20	1	0.328	0.286	0.37	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	gaze_top20	2	0.436	0.392	0.478	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	gaze_top20	3	0.054	0.034	0.074	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	gaze_top20	4	0.024	0.012	0.038	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	gaze_top20	5	0.128	0.1	0.158	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	gaze_top20	6	0.008	0.002	0.016	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	non_gaze_20	1	0.022	0.01	0.036	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	non_gaze_20	2	0.688	0.646	0.728	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	non_gaze_20	3	0.138	0.108	0.168	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	non_gaze_20	4	0.016	0.006	0.028	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	non_gaze_20	5	0.088	0.064	0.114	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
20	non_gaze_20	6	0.002	0.0	0.006	500	segments/gaze_heads_qwen25/runs/static_narration_top20_merged_0_500/qwen_judge/aggregate_results.json
